symbol,timeframe,scenario,entryAt,direction,bigbar,chopCut,alignCut,dedupCut,touchStatus,touchNetR,closeStatus,closeNetR,confirmStatus,confirmNetR,exit141R,exitCanonR,touchDelayBars,tpDistRatio,fixed1R,fixed15R,fixed2R,fixed3R
BTC/USDT,15m,deep,1769799600000,short,false,true,false,true,entered,1.553387272749611,entered,1.1455822322322384,entered,1.619649704624173,2.6269003617548283,3.9360626654197324,69,1.6178010471203847,0.9354626654198022,1.4355626654198022,1.9356626654198021,2.9358626654198026
BTC/USDT,15m,ote,1770003900000,short,false,true,false,true,entered,0.26235019252438196,missed-tp,0,missed-tp,0,0.7840830169518612,0.38082650560021025,1,0.27226463104325804,0.9902311085549154,1.4903311085549154,1.9904311085549153,2.9906311085549153
BTC/USDT,15m,deep,1770031800000,short,false,true,false,true,entered,1.5971896631522549,entered,1.3920264000000018,entered,1.277205170464693,2.6707027521574838,3.9798650558224073,32,1.6178010471204134,0.9792650558224174,1.4793650558224125,1.9794650558224174,2.979665055822417
BTC/USDT,15m,ote,1770087600000,long,false,false,false,true,entered,0.2619975582890386,entered,0.10589729084129648,entered,0.10589729084129648,-1.0222783946130156,-1.0222783946130156,46,0.27226463104325427,-1.0222783946130156,-1.0222783946130156,-1.0222783946130156,-1.0222783946130156
BTC/USDT,15m,ote,1770132600000,short,false,true,false,true,entered,0.2377042883147243,missed-tp,0,missed-tp,0,0.7594371127422079,0.3407769112595167,3,0.2722646310432599,0.9655852043452557,1.4656852043452557,1.9657852043452557,2.9659852043452557
BTC/USDT,15m,ote,1770149700000,short,false,true,false,true,entered,0.26423257596671773,missed-tp,0,missed-tp,0,0.7859654003942003,1.422224942378933,7,0.2722646310432569,0.9921134919972522,1.492213491997254,1.992313491997252,2.992513491997252
BTC/USDT,15m,ote,1770229800000,short,false,false,false,true,entered,0.26308120893977344,entered,0.33650398916605195,entered,0.12471322697729281,0.7848140333672516,1.4210735753519859,4,0.27226463104325554,0.9909621249703093,1.4910621249703093,1.9911621249703093,2.9913621249703093
BTC/USDT,15m,ote,1770301800000,short,false,true,true,true,entered,0.253025185734486,missed-tp,0,missed-tp,0,0.7747580101619694,0.36567336956663204,9,0.27226463104325754,0.9809061017650198,1.481006101765025,1.98110610176502,2.98130610176502
BTC/USDT,15m,ote,1770818400000,short,false,true,false,true,entered,0.26543316453782684,entered,0.2861005001417947,entered,0.1533319439628276,0.7871659889653074,0.3858363351220611,31,0.27226463104325604,0.9933140805683622,-1.0161933187211851,-1.0161933187211851,-1.0161933187211851
BTC/USDT,15m,ote,1770825600000,short,false,true,false,true,entered,0.2575580690524458,missed-tp,0,missed-tp,0,0.7792908934799253,0.3730393049583208,3,0.27226463104325216,0.985438985082985,-1.0339122835632835,-1.0339122835632835,-1.0339122835632835
