scenario,group,stopRatio,takeRatio,n,totalR,avgR,wr
ote,LINK/USDT,70,88.6,308,88.287,0.2866,66.9
ote,SUI/USDT,70,88.6,311,88.740,0.2853,65.6
ote,TON/USDT,70,88.6,272,40.120,0.1475,61.0
ote,NEAR/USDT,70,88.6,254,57.820,0.2276,62.6
ote,APT/USDT,70,88.6,273,44.866,0.1643,60.1
ote,LTC/USDT,70,88.6,252,8.394,0.0333,57.9
ote,H1,70,88.6,1977,399.922,0.2023,62.2
ote,H2,70,88.6,1981,173.299,0.0875,60.7
ote,all,70,100,3958,840.844,0.2124,40.7
ote,15m,70,100,1152,61.946,0.0538,39.2
ote,30m,70,100,1373,323.272,0.2354,41.2
ote,1h,70,100,1433,455.626,0.3180,41.5
ote,BTC/USDT,70,100,329,12.982,0.0395,38.6
ote,ETH/USDT,70,100,247,53.757,0.2176,40.9
ote,SOL/USDT,70,100,306,120.004,0.3922,45.4
ote,XRP/USDT,70,100,294,14.630,0.0498,36.7
ote,BNB/USDT,70,100,309,11.105,0.0359,39.2
ote,DOGE/USDT,70,100,258,51.848,0.2010,39.5
ote,ADA/USDT,70,100,278,63.524,0.2285,40.6
ote,AVAX/USDT,70,100,267,66.658,0.2497,40.8
ote,LINK/USDT,70,100,308,98.366,0.3194,43.2
ote,SUI/USDT,70,100,311,91.591,0.2945,41.5
ote,TON/USDT,70,100,272,77.112,0.2835,42.3
ote,NEAR/USDT,70,100,254,93.378,0.3676,43.3
ote,APT/USDT,70,100,273,59.075,0.2164,39.2
ote,LTC/USDT,70,100,252,26.814,0.1064,38.9
ote,H1,70,100,1977,531.408,0.2688,41.1
ote,H2,70,100,1981,309.436,0.1562,40.4
ote,all,70,120,3958,222.832,0.0563,22.2
ote,15m,70,120,1152,-55.009,-0.0478,22.5
ote,30m,70,120,1373,65.288,0.0476,22.0
ote,1h,70,120,1433,212.553,0.1483,22.3
ote,BTC/USDT,70,120,329,-74.058,-0.2251,19.5
ote,ETH/USDT,70,120,247,56.657,0.2294,25.1
ote,SOL/USDT,70,120,306,67.688,0.2212,24.8
ote,XRP/USDT,70,120,294,-63.918,-0.2174,18.0
ote,BNB/USDT,70,120,309,1.909,0.0062,23.6
ote,DOGE/USDT,70,120,258,69.265,0.2685,25.2
ote,ADA/USDT,70,120,278,17.344,0.0624,21.9
ote,AVAX/USDT,70,120,267,35.537,0.1331,22.8
ote,LINK/USDT,70,120,308,109.420,0.3553,26.9
ote,SUI/USDT,70,120,311,60.270,0.1938,23.5
ote,TON/USDT,70,120,272,11.450,0.0421,21.7
ote,NEAR/USDT,70,120,254,-47.070,-0.1853,16.9
ote,APT/USDT,70,120,273,-18.738,-0.0686,19.0
ote,LTC/USDT,70,120,252,-2.924,-0.0116,21.8
ote,H1,70,120,1977,158.429,0.0801,21.8
ote,H2,70,120,1981,64.403,0.0325,22.7
ote,all,70,141,3958,-70.733,-0.0179,14.9
ote,15m,70,141,1152,-154.242,-0.1339,15.0
ote,30m,70,141,1373,-21.279,-0.0155,14.9
ote,1h,70,141,1433,104.788,0.0731,14.9
ote,BTC/USDT,70,141,329,-103.951,-0.3160,12.8
ote,ETH/USDT,70,141,247,-11.041,-0.0447,14.6
ote,SOL/USDT,70,141,306,76.422,0.2497,18.0
ote,XRP/USDT,70,141,294,-69.515,-0.2364,12.6
ote,BNB/USDT,70,141,309,-82.424,-0.2667,13.6
ote,DOGE/USDT,70,141,258,17.301,0.0671,15.5
ote,ADA/USDT,70,141,278,15.068,0.0542,15.5
ote,AVAX/USDT,70,141,267,-0.058,-0.0002,14.6
ote,LINK/USDT,70,141,308,68.435,0.2222,17.5
ote,SUI/USDT,70,141,311,62.979,0.2025,16.7
ote,TON/USDT,70,141,272,20.569,0.0756,15.8
ote,NEAR/USDT,70,141,254,-0.579,-0.0023,14.2
ote,APT/USDT,70,141,273,-43.235,-0.1584,12.5
ote,LTC/USDT,70,141,252,-20.702,-0.0822,14.7
ote,H1,70,141,1977,-4.528,-0.0023,14.5
ote,H2,70,141,1981,-66.204,-0.0334,15.3
ote,all,70,161,3958,-311.309,-0.0787,11.1
ote,15m,70,161,1152,-293.867,-0.2551,10.7
ote,30m,70,161,1373,-93.638,-0.0682,11.1
ote,1h,70,161,1433,76.197,0.0532,11.4
ote,BTC/USDT,70,161,329,-135.646,-0.4123,9.1
ote,ETH/USDT,70,161,247,-88.319,-0.3576,8.5
ote,SOL/USDT,70,161,306,53.445,0.1747,13.4
ote,XRP/USDT,70,161,294,-91.273,-0.3105,9.2
ote,BNB/USDT,70,161,309,-60.497,-0.1958,11.3
ote,DOGE/USDT,70,161,258,56.624,0.2195,13.6
ote,ADA/USDT,70,161,278,-13.843,-0.0498,11.2
ote,AVAX/USDT,70,161,267,-5.801,-0.0217,11.2
ote,LINK/USDT,70,161,308,32.272,0.1048,12.7
ote,SUI/USDT,70,161,311,97.998,0.3151,14.1
ote,TON/USDT,70,161,272,-19.007,-0.0699,11.0
ote,NEAR/USDT,70,161,254,-77.852,-0.3065,8.3
ote,APT/USDT,70,161,273,-71.141,-0.2606,8.8
ote,LTC/USDT,70,161,252,11.731,0.0466,12.7
ote,H1,70,161,1977,-35.177,-0.0178,11.2
ote,H2,70,161,1981,-276.132,-0.1394,11.1
ote,all,70,200,3958,-301.608,-0.0762,7.8
ote,15m,70,200,1152,-319.794,-0.2776,7.4
ote,30m,70,200,1373,-41.161,-0.0300,8.1
ote,1h,70,200,1433,59.346,0.0414,8.0
ote,BTC/USDT,70,200,329,-139.194,-0.4231,6.4
ote,ETH/USDT,70,200,247,-8.424,-0.0341,8.1
ote,SOL/USDT,70,200,306,101.641,0.3322,10.5
ote,XRP/USDT,70,200,294,-137.008,-0.4660,5.4
ote,BNB/USDT,70,200,309,6.011,0.0195,9.4
ote,DOGE/USDT,70,200,258,1.556,0.0060,8.1
ote,ADA/USDT,70,200,278,-10.315,-0.0371,7.9
ote,AVAX/USDT,70,200,267,38.919,0.1458,9.0
ote,LINK/USDT,70,200,308,11.052,0.0359,8.4
ote,SUI/USDT,70,200,311,99.414,0.3197,10.0
ote,TON/USDT,70,200,272,-35.203,-0.1294,7.4
ote,NEAR/USDT,70,200,254,-73.934,-0.2911,5.9
ote,APT/USDT,70,200,273,-129.969,-0.4761,4.8
ote,LTC/USDT,70,200,252,-26.155,-0.1038,7.9
ote,H1,70,200,1977,-38.351,-0.0194,7.8
ote,H2,70,200,1981,-263.257,-0.1329,7.8
ote,all,70,241,3958,-127.434,-0.0322,6.2
ote,15m,70,241,1152,-297.385,-0.2581,5.7
ote,30m,70,241,1373,-92.815,-0.0676,6.0
ote,1h,70,241,1433,262.766,0.1834,6.8
ote,BTC/USDT,70,241,329,-119.759,-0.3640,5.2
ote,ETH/USDT,70,241,247,66.617,0.2697,7.7
ote,SOL/USDT,70,241,306,14.029,0.0458,6.5
ote,XRP/USDT,70,241,294,-120.560,-0.4101,4.4
ote,BNB/USDT,70,241,309,22.766,0.0737,7.4
ote,DOGE/USDT,70,241,258,-78.569,-0.3045,4.7
ote,ADA/USDT,70,241,278,54.511,0.1961,7.2
ote,AVAX/USDT,70,241,267,-7.049,-0.0264,6.0
ote,LINK/USDT,70,241,308,114.806,0.3727,8.1
ote,SUI/USDT,70,241,311,147.174,0.4732,8.4
ote,TON/USDT,70,241,272,-80.252,-0.2950,4.8
ote,NEAR/USDT,70,241,254,-22.354,-0.0880,5.5
ote,APT/USDT,70,241,273,-148.047,-0.5423,3.3
ote,LTC/USDT,70,241,252,29.254,0.1161,7.1
ote,H1,70,241,1977,39.650,0.0201,6.2
ote,H2,70,241,1981,-167.084,-0.0843,6.2
