symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be
BTC/USDT,1h,pw5,full,global,bos,5,ote,tight,176,97,95,0.3814,0.2371,0.5979,-0.1687,-0.0322,49,-0.2885,-0.2008,48,-0.0463,0.1400
BTC/USDT,1h,pw5,full,global,bos,5,deep,zero,176,29,29,0.4483,0.2414,0.5517,0.6546,0.6922,18,0.8455,0.9101,11,0.3422,0.3356
BTC/USDT,1h,pw5,full,global,bos,5,breaker,zero,78,45,45,0.6889,0.3556,0.3111,-0.0287,0.0808,20,-0.1540,-0.1007,25,0.0716,0.2260
BTC/USDT,1h,pw5,full,global,choch,0,ote,zero,114,88,87,0.5227,0.2500,0.4659,-0.0515,-0.0001,47,-0.0641,-0.0017,41,-0.0374,0.0016
BTC/USDT,1h,pw5,full,global,choch,0,ote,tight,114,88,88,0.4205,0.1705,0.5795,-0.1025,-0.0894,47,-0.1825,-0.1485,41,-0.0108,-0.0216
BTC/USDT,1h,pw5,full,global,choch,0,deep,zero,114,49,48,0.2449,0.1837,0.7347,-0.0772,0.0841,28,0.2304,0.3717,21,-0.4727,-0.2857
BTC/USDT,1h,pw5,full,global,choch,0,breaker,zero,60,44,44,0.4318,0.2500,0.5682,-0.3911,-0.3034,18,-0.5300,-0.4417,26,-0.2950,-0.2077
BTC/USDT,1h,pw5,full,global,choch,5,ote,zero,91,67,66,0.5522,0.2537,0.4328,0.0057,0.0492,36,-0.0262,0.0240,31,0.0416,0.0777
BTC/USDT,1h,pw5,full,global,choch,5,ote,tight,91,67,67,0.4627,0.1791,0.5373,-0.0124,-0.0104,36,-0.0513,-0.0164,31,0.0328,-0.0035
BTC/USDT,1h,pw5,full,global,choch,5,deep,zero,91,31,30,0.2258,0.1613,0.7419,-0.1387,-0.0103,19,0.0253,0.0939,12,-0.3848,-0.1667
BTC/USDT,1h,pw5,full,global,choch,5,breaker,zero,48,32,32,0.4063,0.2500,0.5938,-0.4272,-0.3342,14,-0.5971,-0.5046,18,-0.2950,-0.2017
BTC/USDT,1h,age0,full,local,bos,0,ote,zero,423,243,242,0.6296,0.3909,0.3663,0.1342,0.2887,142,0.1450,0.3020,101,0.1190,0.2703
BTC/USDT,1h,age0,full,local,bos,0,ote,tight,423,243,242,0.5267,0.2716,0.4691,0.1290,0.2316,142,0.0900,0.2087,101,0.1835,0.2637
BTC/USDT,1h,age0,full,local,bos,0,deep,zero,423,131,131,0.3588,0.2443,0.6412,0.3243,0.4899,80,0.5687,0.6605,51,-0.0591,0.2225
BTC/USDT,1h,age0,full,local,bos,0,breaker,zero,238,148,148,0.8311,0.4932,0.1689,0.1718,0.3492,80,0.1633,0.3378,68,0.1819,0.3626
BTC/USDT,1h,age0,full,local,bos,5,ote,zero,184,71,70,0.5493,0.3239,0.4366,-0.0005,0.1177,38,-0.0303,0.0622,33,0.0328,0.1800
BTC/USDT,1h,age0,full,local,bos,5,ote,tight,184,71,70,0.4507,0.2254,0.5352,-0.0242,0.0539,38,-0.0770,-0.0429,33,0.0349,0.1625
BTC/USDT,1h,age0,full,local,bos,5,deep,zero,184,12,12,0.3333,0.2500,0.6667,0.2304,0.4455,8,0.8455,1.1682,4,-1.0000,-1.0000
BTC/USDT,1h,age0,full,local,bos,5,breaker,zero,70,30,30,0.7333,0.3667,0.2667,0.0340,0.1422,13,-0.0238,-0.0031,17,0.0782,0.2532
BTC/USDT,1h,age0,full,local,choch,0,ote,zero,310,211,210,0.5877,0.3223,0.4076,0.0593,0.1594,103,0.0376,0.1828,108,0.0797,0.1373
