id,symbol,timeframe,scenario,direction,entryAt,exitAt,netR,status,equityBefore,equityAfter,pnl,openRiskPct
SOL/USDT|1h|deep|3903:high:3871:130.926:structural|3948,SOL/USDT,1h,deep,long,1726063200000,1726243200000,3.906126155080801,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
APT/USDT|1h|deep|3890:low:3870:6.144:structural|3948,APT/USDT,1h,deep,short,1726239600000,1726261200000,-1.1214769082391853,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
AVAX/USDT|1h|ote|4036:low:3967:23.652:structural|4041,AVAX/USDT,1h,ote,short,1726470000000,1726700400000,0.3772119730417432,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
AVAX/USDT|1h|deep|4059:low:4036:23.298:structural|4063,AVAX/USDT,1h,deep,short,1726549200000,1726581600000,-1.0956743029145415,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
BNB/USDT|1h|deep|4036:low:3997:549.5:structural|4105,BNB/USDT,1h,deep,short,1726700400000,1726704000000,-1.1651126143443715,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
SOL/USDT|1h|deep|4117:low:3948:128.113:structural|4126,SOL/USDT,1h,deep,short,1726704000000,1726747200000,-1.0430438018560355,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
DOGE/USDT|1h|deep|4047:low:4019:0.10426:structural|4137,DOGE/USDT,1h,deep,short,1726761600000,1726927200000,-1.0948170157068062,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
XRP/USDT|1h|deep|4290:low:4238:0.5825:structural|4299,XRP/USDT,1h,deep,short,1727344800000,1727370000000,-1.1659280324527392,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
TON/USDT|4h|ote|1253:high:1212:5.812:structural|1257,TON/USDT,4h,ote,long,1727395200000,1727582400000,0.37098760300643047,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
SUI/USDT|1h|deep|4270:low:4247:1.663:structural|4275,SUI/USDT,1h,deep,short,1727413200000,1727614800000,1.2844208054432595,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
SOL/USDT|1h|deep|4333:high:4309:158.265:structural|4351,SOL/USDT,1h,deep,long,1727514000000,1727686800000,1.2474608571992336,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
BNB/USDT|1h|deep|4290:high:4264:599.85:structural|4370,BNB/USDT,1h,deep,long,1727654400000,1727658000000,-1.1145967438474669,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
DOGE/USDT|1h|deep|4352:high:4327:0.12872:structural|4385,DOGE/USDT,1h,deep,long,1727654400000,1727690400000,-1.0513840060800541,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
NEAR/USDT|1h|deep|4345:low:4291:5.361:structural|4372,NEAR/USDT,1h,deep,short,1727762400000,1727794800000,3.9367472188324126,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
TON/USDT|4h|deep|1253:high:1212:5.812:structural|1284,TON/USDT,4h,deep,long,1727784000000,1727784000000,-1.0549012115419354,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
SUI/USDT|1h|deep|4333:high:4262:1.7578:structural|4383,SUI/USDT,1h,deep,long,1727802000000,1727917200000,3.9656652295572634,accepted,10223.448313380955,10426.162180893709,202.7138675127535,1.5
XRP/USDT|1h|deep|4345:high:4220:0.5956:structural|4426,XRP/USDT,1h,deep,long,1727802000000,1727802000000,1.2552646750847025,capacity-rejected,10223.448313380955,10223.448313380955,0,1.5
SUI/USDT|1h|deep|4416:high:4370:1.9314:structural|4429,SUI/USDT,1h,deep,long,1727967600000,1729897200000,1.3273421386973094,accepted,10426.162180893709,10495.357602931672,69.1954220379623,1.5
NEAR/USDT|1h|ote|4511:high:4397:5.003:structural|4552,NEAR/USDT,1h,ote,long,1728410400000,1729004400000,0.38300547355553566,capacity-rejected,10426.162180893709,10426.162180893709,0,1.5
NEAR/USDT|1h|deep|4511:high:4397:5.003:structural|4576,NEAR/USDT,1h,deep,long,1728496800000,1729587600000,1.317975136687566,capacity-rejected,10426.162180893709,10426.162180893709,0,1.5
AVAX/USDT|1h|deep|4600:low:4577:26.01:structural|4642,AVAX/USDT,1h,deep,short,1728633600000,1728658800000,-1.1443960896111365,capacity-rejected,10426.162180893709,10426.162180893709,0,1.5
DOGE/USDT|1h|deep|4894:high:4843:0.14697:structural|4902,DOGE/USDT,1h,deep,long,1729515600000,1729612800000,-1.0520538229521523,capacity-rejected,10426.162180893709,10426.162180893709,0,1.5
LINK/USDT|1h|ote|4939:low:4837:11.293:structural|4946,LINK/USDT,1h,ote,short,1729728000000,1730174400000,0.37896858477555756,capacity-rejected,10426.162180893709,10426.162180893709,0,1.5
