time,open,high,low,close,GGI Mean,GGI Upper Inner,GGI Lower Inner,Shapes,Shapes
1781943300,63522.2,63548.4,63513.2,63525.2,63548.71371724742,63925.57775242785,63174.07142969924,0,0
1781943600,63525.2,63540,63466,63490.3,63552.01321989285,63928.80400382403,63177.44320791365,0,0
1781943900,63490.3,63493.9,63434.9,63448.5,63555.07974153543,63931.75639320463,63180.62241415696,0,0
1781944200,63448.5,63462.7,63392,63453.5,63557.89814834481,63934.48547529295,63183.528998547285,0,0
1781944500,63453.5,63456.1,63397.9,63455.6,63560.47692693408,63936.9306408395,63186.23973167123,0,0
1781944800,63455.6,63455.6,63426,63426,63562.8233331014,63938.94530971785,63188.913900664535,0,0
1781945100,63426,63439.8,63363.3,63401.8,63564.91205813902,63940.768668141354,63191.264808365304,0,0
1781945400,63401.8,63403.1,63360,63380.2,63566.73238709089,63942.2052523355,63193.46432338507,0,0
1781945700,63380.2,63425.9,63375.4,63393.9,63568.310952792555,63943.327577550626,63195.49373607552,0,0
1781946000,63393.9,63452.6,63390.6,63429.4,63569.68168839052,63944.23590054869,63197.321432511126,0,0
1781946300,63429.4,63474,63420,63435.2,63570.870541612305,63944.913275367006,63199.01575306714,0,0
1781946600,63435.2,63506,63435.2,63488.7,63571.916718345165,63945.49310996692,63200.52279985154,0,0
1781946900,63488.7,63528.7,63480,63485.7,63572.84618431298,63945.8794860587,63201.98900158117,0,0
1781947200,63485.7,63565.1,63485.7,63536.9,63573.69315830002,63946.27762088082,63203.27956769052,0,0
1781947500,63536.9,63545.3,63505,63532.1,63574.45869829742,63946.47214524781,63204.60946776224,0,0
1781947800,63532.1,63589.4,63524.9,63579.2,63575.18136559681,63946.63919605855,63205.881286059055,0,0
1781948100,63579.2,63658,63579.1,63609.6,63575.91160719707,63946.90727898305,63207.06831141082,0,0
1781948400,63609.6,63686.9,63605.6,63676.2,63576.68760774126,63947.32404084629,63208.199370320806,0,0
1781948700,63676.2,63682.1,63607.1,63624.1,63577.488825666325,63947.83050566805,63209.29190896402,0,0
1781949000,63624.1,63712.3,63624.1,63705.5,63578.354718719835,63948.53537132161,63210.31694108408,0,0
1781949300,63705.5,63760.7,63695.6,63703.1,63579.319378487504,63949.34154451215,63211.438225959515,0,0
1781949600,63703.1,63737.6,63664.1,63707.3,63580.36140336753,63950.27330701738,63212.58920623316,0,0
1781949900,63707.3,63748.2,63652.4,63652.8,63581.45857158996,63951.42736788716,63213.63010141005,0,0
1781950200,63652.8,63670.9,63652.2,63660.2,63582.58490791141,63952.351953768564,63214.95582358382,0,0
1781950500,63660.2,63692.1,63653.9,63653.9,63583.743394365396,63953.16735456821,63216.453402940315,0,0
1781950800,63653.9,63668.9,63614.1,63634.9,63584.905162086725,63953.94129077164,63217.99849816232,0,0
1781951100,63634.9,63652.5,63621.8,63647.5,63586.07020191667,63954.54517384182,63219.71820349663,0,0
1781951400,63647.5,63668.7,63612.3,63616.9,63587.229564066954,63955.11767845636,63221.45764724894,0,0
1781951700,63616.9,63616.9,63575.1,63578.9,63588.34152818266,63955.539377547575,63223.25192873465,0,0
1781952000,63578.9,63596.4,63561.8,63571.8,63589.39391791868,63955.764087584095,63225.12249733609,0,0
1781952300,63571.8,63635.7,63571.8,63629.1,63590.422601564744,63955.99383132036,63226.940969922136,0,0
1781952600,63629.1,63644.7,63605.9,63632.1,63591.44244239721,63956.10657720761,63228.85754502532,0,0
1781952900,63632.1,63655,63628,63651,63592.46933546296,63956.05973486422,63230.94594861821,0,0
1781953200,63651,63690.6,63628.4,63632.9,63593.50773867283,63956.057192480206,63233.013478888126,0,0
1781953500,63632.9,63642.7,63583.3,63637.7,63594.52779004426,63956.05353520136,63235.04564916207,0,0
1781953800,63637.7,63637.9,63617.5,63635.8,63595.538146455314,63955.84573052499,63237.26042460785,0,0
1781954100,63635.8,63686.4,63627.2,63636.4,63596.55716063152,63955.67253481624,63239.45824326548,0,0
