time,open,high,low,close,GGI Mean,GGI Upper Inner,GGI Lower Inner,Shapes,Shapes
1739088000,97013.9,97250,96503.1,96513.4,100909.87483910033,111313.13425864301,91478.89786646847,0,0
1739102400,96513.4,96657.1,95681,96447.5,100816.68297441537,111162.90731779349,91433.40895994048,0,0
1739116800,96447.5,96546.1,95805.2,96016.6,100722.98569092939,111008.44336204884,91390.52435324522,0,0
1739131200,96016.6,96740.9,94651.2,96428.6,100628.7160596055,110858.36835633512,91343.02304771419,0,0
1739145600,96428.6,97100,95202.8,96764.3,100534.41468496797,110711.83009792087,91292.57936671855,0,0
1739160000,96764.3,97631.8,96570.2,97405.1,100441.0261238301,110564.48636647128,91244.48600402699,0,0
1739174400,97405.1,97937.3,97318.8,97629.9,100349.02611166207,110414.24840728051,91201.33666458071,0,0
1739188800,97629.9,98343.4,96812.1,97188.9,100258.26403039483,110266.78820671565,91158.17799593964,0,0
1739203200,97188.9,97611,96826.4,97338.5,100168.58586594184,110117.3810143946,91118.6363310888,0,0
1739217600,97338.5,97476.7,97085,97384.2,100080.08807688071,109963.9302184002,91084.63120209781,0,0
1739232000,97384.2,98150,97379.2,97571.8,99993.18635777434,109809.49378679594,91054.39769528265,0,0
1739246400,97571.8,98459,97505.2,98230,99908.25358238409,109655.76804955862,91027.2146319816,0,0
1739260800,98230,98298.7,97826.2,98092.4,99825.29209052888,109499.97563437335,91005.39870651117,0,0
1739275200,98092.4,98102.8,96551.3,96982,99743.44620270583,109348.01949644981,90982.48972598062,0,0
1739289600,96982,97009.3,94821.9,94985.9,99661.14383091372,109202.1697996032,90953.7201313207,0,0
1739304000,94985.9,96450,94871,95748.6,99578.5728794736,109058.66600115728,90922.55150642878,0,0
1739318400,95748.6,96234.5,95050,95256,99495.65116663296,108914.92356024565,90890.98424236165,0,0
1739332800,95256,96130,95219.8,96025.7,99412.75705553098,108769.71822028545,90860.73244546546,0,0
1739347200,96025.7,96429.9,95865,96045.3,99330.29363524712,108621.48311358482,90833.84751197943,0,0
1739361600,96045.3,96600,94001.2,95767.2,99247.66636114425,108482.34129792496,90799.10297180705,0,0
1739376000,95767.2,97675,95060,97170.3,99166.14051162566,108353.21194733771,90758.02412531168,0,0
1739390400,97170.3,98089.1,96805.3,97828.1,99086.67220759149,108226.59867425941,90718.6285944865,0,0
1739404800,97828.1,98047,97328.3,97462.7,99009.28449268814,108099.15430288928,90683.76601991645,0,0
1739419200,97462.7,97524.3,95788,96023,98932.81046221514,107975.9840976829,90647.01811004493,0,0
1739433600,96023,96307.4,95310.1,95890,98856.6800440804,107851.94914365635,90611.65112853682,0,0
1739448000,95890,96439.5,95250,95941.2,98780.99443255662,107728.42596232341,90576.69574135804,0,0
1739462400,95941.2,96347.9,95156.1,95594.3,98705.6323761418,107605.34464825873,90541.98836146481,0,0
1739476800,95594.3,96808.5,95553.2,96570.7,98631.26063256925,107483.82163069063,90507.81249102947,0,0
1739491200,96570.7,97173.8,96330.7,97109,98558.46017865432,107361.99140884135,90476.8060402003,0,0
1739505600,97109,97216.8,96512.6,96907.8,98487.23976520267,107239.1633439831,90449.57172460768,0,0
1739520000,96907.8,97171.7,96757.8,96843.9,98417.64294562727,107113.81943378363,90427.47699759465,0,0
1739534400,96843.9,97569.9,96200,96886.3,98349.6269153168,106991.87208432808,90405.45721789302,0,0
1739548800,96886.3,98821,96436.8,97911.2,98284.00419711901,106880.11504836327,90379.25788766482,0,0
1739563200,97911.2,98262.8,96639,97450.1,98220.46682964812,106773.42188716728,90352.63583130961,0,0
1739577600,97450.1,97933,97175.8,97625.6,98159.10731948484,106666.66781796495,90330.0960540118,0,0
1739592000,97625.6,97746.8,97303.1,97303.5,98099.7646825462,106557.97914845406,90312.93487054233,0,0
1739606400,97303.5,97695.2,97258.1,97581.6,98042.46534245387,106447.58148826942,90301.01836071823,0,0
1739620800,97581.6,97898.8,97370,97599.3,97987.28150727914,106336.31832446996,90293.77251795716,0,0
1739635200,97599.3,97677.8,97268.9,97486.8,97934.03204929872,106223.48893218854,90291.46688597156,0,0
1739649600,97486.8,97700,97349.9,97533.9,97882.73108784958,106108.98585057244,90294.2287914119,0,0
1739664000,97533.9,97678.7,97299.8,97490.7,97833.30470031634,105993.13287945208,90301.65680139502,0,0
1739678400,97490.7,97620.2,97164,97200.9,97785.56112671008,105876.3974783124,90313.00830597513,0,0
1739692800,97200.9,97341.9,97012,97288.2,97739.36107449922,105758.08205377113,90328.63037733854,0,0
