symbol,timeframe,scenario,entryAt,chopCut,alignCut,netRCanon,netRT100
BTC/USDT,30m,ote,1762482600000,true,false,0.3471074332663801,0.2262122049881088
BTC/USDT,30m,ote,1762601400000,true,false,1.381942165992917,0.22476023215067728
BTC/USDT,30m,ote,1762833600000,true,false,-1.0982951379807078,-1.0982951379807078
BTC/USDT,30m,deep,1762837200000,true,false,-1.2015109383582103,-1.2015109383582103
BTC/USDT,30m,ote,1762948800000,true,false,1.374528986800136,0.2161892921436512
BTC/USDT,30m,ote,1763011800000,true,true,1.3764489914547033,0.2181092967982138
BTC/USDT,30m,ote,1763011800000,true,true,1.4049248519936637,0.2465851573371745
BTC/USDT,30m,ote,1763337600000,true,false,1.3799944968405806,0.2216548021840925
BTC/USDT,30m,deep,1763364600000,true,false,3.896316425436403,1.5129263730803708
BTC/USDT,30m,ote,1763481600000,true,false,1.3844932153628422,0.22615352070635733
BTC/USDT,30m,ote,1763586000000,false,false,-1.0683487314418239,0.21441613640864593
BTC/USDT,30m,deep,1763593200000,false,false,-1.141374091396003,-1.141374091396003
BTC/USDT,30m,ote,1763586000000,false,false,1.4020257428799199,0.24368604822343057
BTC/USDT,30m,deep,1763598600000,false,false,3.941647732731983,1.55825768037596
BTC/USDT,30m,ote,1763631000000,true,false,-1.0423904421918162,0.23519383399189364
BTC/USDT,30m,deep,1763652600000,true,false,-1.0864819046145744,-1.0864819046145744
BTC/USDT,30m,ote,1764037800000,true,false,1.3828304210090867,0.2256484871668454
BTC/USDT,30m,deep,1764081000000,true,false,3.903632227521297,1.52262437411816
BTC/USDT,30m,ote,1764345600000,true,false,-1.1125776518771435,0.17503336854733031
BTC/USDT,30m,deep,1764347400000,true,false,-1.2308985193074193,-1.2308985193074193
BTC/USDT,30m,ote,1764671400000,true,false,-1.0229207024748193,-1.0229207024748193
BTC/USDT,30m,ote,1764874800000,true,false,0.3806491431099356,0.2572679308879344
BTC/USDT,30m,ote,1765377000000,false,false,-1.0320075844599281,0.2440934263335103
BTC/USDT,30m,ote,1765760400000,false,false,-1.1303736743587496,0.16125189962270997
BTC/USDT,30m,deep,1765762200000,false,false,-1.2689960943611975,-1.2689960943611975
BTC/USDT,30m,ote,1765981800000,true,false,0.3756710936732858,0.2525786607483296
BTC/USDT,30m,ote,1765899000000,true,false,-1.0197540411784811,0.25606872806293784
BTC/USDT,30m,ote,1765985400000,true,false,0.32367716715910083,0.20467841462562653
BTC/USDT,30m,deep,1765987200000,true,false,-1.1597348877529639,-1.1597348877529639
BTC/USDT,30m,ote,1766046600000,true,false,0.36290097559653,0.2407908594467098
BTC/USDT,30m,deep,1766064600000,true,false,1.2743873476933776,1.5523005642018601
BTC/USDT,30m,ote,1766113200000,true,true,-1.0297246086407024,-1.0297246086407024
BTC/USDT,30m,deep,1766127600000,true,true,-1.0619014198732775,-1.0619014198732775
BTC/USDT,30m,ote,1766430000000,true,false,1.4045573946632157,0.2473754608209745
BTC/USDT,30m,ote,1767720600000,true,false,0.2437082542924702,0.13086095659489128
BTC/USDT,30m,deep,1767798000000,true,false,-1.3369354349105067,1.3275903452449946
BTC/USDT,30m,ote,1767810600000,true,false,0.37846715171001394,0.25525378498031387
BTC/USDT,30m,ote,1767720600000,true,false,0.3801716191029567,0.2568271394968773
BTC/USDT,30m,ote,1767972600000,true,false,-1.043807093152933,0.23545182637055243
BTC/USDT,30m,ote,1768206600000,true,false,-1.1666615444277761,0.1286757463610795
BTC/USDT,30m,deep,1768206600000,true,false,-1.3421810835608088,1.3230940749732654
BTC/USDT,30m,ote,1768203000000,true,false,-1.0844259800633398,-1.0844259800633398
BTC/USDT,30m,deep,1768206600000,true,false,-1.172973875208863,-1.172973875208863
BTC/USDT,30m,ote,1768575600000,true,false,-1.0223030465187535,-1.0223030465187535
BTC/USDT,30m,ote,1769020200000,true,false,-1.0566812022957313,-1.0566812022957313
BTC/USDT,30m,deep,1769022000000,true,false,-1.1173670811634686,-1.1173670811634686
BTC/USDT,30m,ote,1769196600000,false,false,-1.1118332883929551,0.1756713943909176
BTC/USDT,30m,deep,1769304600000,false,false,-1.229366923237862,-1.229366923237862
BTC/USDT,30m,ote,1769486400000,false,false,1.4188206489149136,0.26048095425842455
BTC/USDT,30m,ote,1770148800000,true,false,1.406480934007025,0.248141239350535
BTC/USDT,30m,ote,1770229800000,false,false,1.4030268329261921,0.24468713826970492
BTC/USDT,30m,ote,1770935400000,true,false,-1.0449798588079693,-1.0449798588079693
BTC/USDT,30m,deep,1770987600000,true,false,-1.0932904948247744,-1.0932904948247744
BTC/USDT,30m,ote,1771144200000,false,false,-1.0890732718557545,0.19517997999423864
BTC/USDT,30m,deep,1771158600000,false,false,-1.1825361038707394,-1.1825361038707394
BTC/USDT,30m,ote,1771243200000,true,false,0.3462852142646584,0.22545323360190342
BTC/USDT,30m,deep,1771246800000,true,false,3.9041320461023457,1.5207419937463234
BTC/USDT,30m,ote,1771273800000,true,false,0.3427300985548154,0.22217158833127865
BTC/USDT,30m,ote,1771344000000,true,false,0.3405757219809197,0.22018293303230188
BTC/USDT,30m,ote,1771473600000,true,false,0.33725983770029233,0.21712211677325693
BTC/USDT,30m,ote,1771839000000,true,false,0.37841459721394194,0.25511112555508986
BTC/USDT,30m,ote,1772118000000,true,false,0.37766142380326295,0.25451003614331275
BTC/USDT,30m,ote,1772062200000,true,false,0.38033011439889686,0.2569734428469752
BTC/USDT,30m,ote,1772303400000,true,false,-1.0229199281384753,-1.0229199281384753
