ladder,symbol,timeframe,scenario,entryAt,direction,netR
canon,BTC/USDT,15m,ote,1768777200000,long,0.010000298216318537
t100-241,BTC/USDT,15m,ote,1768777200000,long,-0.2506835440228584
t100-141-241,BTC/USDT,15m,ote,1768777200000,long,-0.021622955988613454
t100-161-241,BTC/USDT,15m,ote,1768777200000,long,-0.3059549038976521
t100-only,BTC/USDT,15m,ote,1768777200000,long,-0.08486946439847731
canon,BTC/USDT,15m,deep,1768777200000,long,0.5504828125602713
t100-241,BTC/USDT,15m,deep,1768777200000,long,0.014101922507936987
t100-141-241,BTC/USDT,15m,deep,1768777200000,long,0.6615569544317966
t100-161-241,BTC/USDT,15m,deep,1768777200000,long,-0.2757658493810333
t100-only,BTC/USDT,15m,deep,1768777200000,long,0.8837052381748478
canon,BTC/USDT,15m,ote,1768925700000,short,1.230198569943698
t100-241,BTC/USDT,15m,ote,1768925700000,short,-0.08105333039818044
t100-141-241,BTC/USDT,15m,ote,1768925700000,short,-0.13202406562663555
t100-161-241,BTC/USDT,15m,ote,1768925700000,short,-0.13202406562663555
t100-only,BTC/USDT,15m,ote,1768925700000,short,0.07185887528718476
canon,BTC/USDT,15m,ote,1769023800000,short,1.417244265235008
t100-241,BTC/USDT,15m,ote,1769023800000,short,0.1215795061674397
t100-141-241,BTC/USDT,15m,ote,1769023800000,short,0.0758044846970802
t100-161-241,BTC/USDT,15m,ote,1769023800000,short,0.0758044846970802
t100-only,BTC/USDT,15m,ote,1769023800000,short,0.2589045705785182
canon,BTC/USDT,15m,deep,1769022900000,short,-1.1161702447488724
t100-241,BTC/USDT,15m,deep,1769022900000,short,-1.1161702447488724
t100-141-241,BTC/USDT,15m,deep,1769022900000,short,-1.1161702447488724
t100-161-241,BTC/USDT,15m,deep,1769022900000,short,-1.1161702447488724
t100-only,BTC/USDT,15m,deep,1769022900000,short,-1.1161702447488724
canon,BTC/USDT,15m,ote,1769195700000,long,-1.0464654279892223
t100-241,BTC/USDT,15m,ote,1769195700000,long,-1.0464654279892223
t100-141-241,BTC/USDT,15m,ote,1769195700000,long,-1.0464654279892223
t100-161-241,BTC/USDT,15m,ote,1769195700000,long,-1.0464654279892223
t100-only,BTC/USDT,15m,ote,1769195700000,long,-1.0464654279892223
canon,BTC/USDT,15m,deep,1769200200000,long,-1.1526375211770894
